epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
66,105.305,0.83292,1.33184,1.00653,0.96682,0,0.95709,0.89745,0.9473,0.78468,0.95709,0.89745,0.9473,0.64624,0.76761,1.30566,0.67381,0.86532,0,0.000396071,0.000396071,0.000396071
67,106.567,0.96301,1.46123,1.03926,0.96754,0,0.95709,0.89745,0.9473,0.78468,0.95709,0.89745,0.9473,0.64624,0.76761,1.30566,0.67381,0.86532,0,0.000385073,0.000385073,0.000385073
68,107.863,0.84139,1.32408,0.96274,0.94692,0,0.96393,0.93913,0.95529,0.78946,0.96393,0.93913,0.95529,0.66696,0.76766,1.29528,0.63956,0.87093,0,0.000374074,0.000374074,0.000374074
69,109.123,0.84538,1.26429,1.01137,0.96026,0,0.96393,0.93913,0.95529,0.78946,0.96393,0.93913,0.95529,0.66696,0.76766,1.29528,0.63956,0.87093,0,0.000363075,0.000363075,0.000363075
70,110.466,0.85995,1.30191,0.93737,0.93642,0,0.96393,0.93913,0.95529,0.78946,0.96393,0.93913,0.95529,0.66696,0.76766,1.29528,0.63956,0.87093,0,0.000352076,0.000352076,0.000352076
71,112.832,0.81962,1.32409,0.96227,0.97949,0,0.96831,0.94384,0.95529,0.79002,0.96831,0.94384,0.95529,0.65165,0.79026,1.32227,0.61754,0.87988,0,0.000341077,0.000341077,0.000341077
72,114.031,0.8395,1.29196,1.00591,0.95988,0,0.96831,0.94384,0.95529,0.79002,0.96831,0.94384,0.95529,0.65165,0.79026,1.32227,0.61754,0.87988,0,0.000330078,0.000330078,0.000330078
73,115.288,0.91705,1.38023,0.97871,0.99351,0,0.96501,0.94611,0.95528,0.78774,0.96501,0.94611,0.95528,0.64474,0.78038,1.36285,0.61166,0.87878,0,0.000319079,0.000319079,0.000319079
74,116.583,0.86748,1.35902,0.97774,0.97592,0,0.96501,0.94611,0.95528,0.78774,0.96501,0.94611,0.95528,0.64474,0.78038,1.36285,0.61166,0.87878,0,0.00030808,0.00030808,0.00030808
75,117.846,0.81404,1.2748,1.01742,0.9226,0,0.96501,0.94611,0.95528,0.78774,0.96501,0.94611,0.95528,0.64474,0.78038,1.36285,0.61166,0.87878,0,0.000297081,0.000297081,0.000297081
76,119.24,0.89584,1.45372,1.01209,1.00054,0,0.95321,0.94771,0.95528,0.80005,0.95321,0.94771,0.95528,0.63558,0.76385,1.37057,0.6167,0.87679,0,0.000286083,0.000286083,0.000286083
77,120.439,0.84658,1.44405,0.92682,0.9817,0,0.95321,0.94771,0.95528,0.80005,0.95321,0.94771,0.95528,0.63558,0.76385,1.37057,0.6167,0.87679,0,0.000275084,0.000275084,0.000275084
